
Surrey Hills Child Care Centre,SURREY HILLS,3127,47,Working Towards NQS,121,100
Wattle Park Children's Services Centre,BURWOOD,3125,41,Meeting NQS,122,167
Papilio Early Learning Box Hill North,BOX HILL NORTH,3129,55,Meeting NQS,123,164
Presbyterian Ladies College Early Learning,BURWOOD,3125,163,Exceeding NQS,124,198
Watts Street Children's Centre,BOX HILL,3128,80,Exceeding NQS,125,147
Brighton Beach Early Learning Centre,BRIGHTON,3186,64,Meeting NQS,126,141
Wilson Street Kindergarten,BRIGHTON,3186,54,Exceeding NQS,127,186
Hurlingham Park Preschool,BRIGHTON EAST,3187,30,Meeting NQS,128,120
St Marys Preschool,BRIGHTON EAST,3187,30,Exceeding NQS,129,189
Brighton Baptist Kindergarten,BRIGHTON,3186,35,Exceeding NQS,130,157
St Peters Kindergarten,BRIGHTON,3186,26,Exceeding NQS,131,171
Melbourne Montessori School Brighton Campus,BRIGHTON EAST,3187,158,Exceeding NQS,132,136
Bambini Juniors Early Learning Centre,BRIGHTON,3186,121,Exceeding NQS,133,191
Hunt Community Child Care Centre,BRIGHTON,3186,44,Meeting NQS,134,138
Brighton Early Learning Centre,BRIGHTON,3186,64,Meeting NQS,135,130
Firbank Grammar School,BRIGHTON,3186,127,Exceeding NQS,136,154
Mt Piper Kindergarten,BROADFORD,3658,62,Meeting NQS,137,198
Campbellfield Preschool,CAMPBELLFIELD,3061,30,Meeting NQS,138,147
Moomba Park Kindergarten,FAWKNER,3060,60,Meeting NQS,139,176
Glenroy Memorial Kindergarten,GLENROY,3046,30,Working Towards NQS,140,180
Oak Park Kindergarten,OAK PARK,3046,33,Exceeding NQS,141,141
Taylor Drive Preschool,TULLAMARINE,3043,33,Meeting NQS,142,113
Westmeadows Preschool,WESTMEADOWS,3049,33,Meeting NQS,143,110
Joybelle Child Care Centre,FAWKNER,3060,50,Meeting NQS,144,188
Tarcoola Preschool,COOLAROO WEST,3048,81,Meeting NQS,145,103
The Playhouse,DALLAS,3047,73,Exceeding NQS,146,139
Belle Vue Park Kindergarten,GLENROY,3046,59,Meeting NQS,147,130
Pearl Street Child Care Centre,GLENROY,3046,65,Meeting NQS,148,168
East Brunswick Kindergarten,EAST BRUNSWICK,3057,75,Exceeding NQS,149,184
Denzil Don Free Kindergarten,BRUNSWICK WEST,3055,75,Exceeding NQS,150,189
MCM Early Years Hub Hartnett House,BRUNSWICK,3056,126,Meeting NQS,151,133
Dewdrops Early Learning - Moreland,BRUNSWICK,3056,46,Meeting NQS,152,107
Dawson Street Child Care Centre,BRUNSWICK,3056,58,Exceeding NQS,153,164
Dunstan Reserve Child Care Centre,BRUNSWICK WEST,3055,72,Exceeding NQS,154,185
Tinning Street Child Care Centre,BRUNSWICK,3056,35,Exceeding NQS,155,128
Park Street Child Care and Kindergarten,BRUNSWICK,3056,44,Exceeding NQS,156,185
Mitchell Street Child Care Centre,BRUNSWICK,3056,35,Exceeding NQS,157,101
Brunswick Creche & Day Nursery,BRUNSWICK,3056,62,Meeting NQS,158,120
Dobell Avenue Preschool,SUNBURY,3429,29,Exceeding NQS,159,144
St Andrews Sunbury Kindergarten,SUNBURY,3429,60,Exceeding NQS,160,174
Stewarts Lane Preschool,SUNBURY,3429,66,Exceeding NQS,161,113
Bank Street Preschool,CRAIGIEBURN,3064,33,Meeting NQS,162,121
McEwen Drive Preschool,SUNBURY,3429,33,Meeting NQS,163,187
Mitford Crescent Preschool,CRAIGIEBURN,3064,33,Meeting NQS,164,122
Learmonth Street Preschool,SUNBURY,3429,29,Exceeding NQS,165,128
Bradford Avenue Children's Centre,GREENVALE,3059,66,Meeting NQS,166,182
Pembroke Crescent Preschool Centre,CRAIGIEBURN,3064,33,Working Towards NQS,167,117
Barrymore Road Children's Centre,GREENVALE,3059,71,Meeting NQS,168,198
Craigieburn Early Childhood Services Centre,CRAIGIEBURN,3064,75,Exceeding NQS,169,149
Sunningdale Children's Centre,SUNBURY,3429,130,Meeting NQS,170,182
Roxburgh Park Community House & Children's Centre,ROXBURGH PARK,3064,52,Meeting NQS,171,177
Attwood Child Care Centre and Kindergarten,ATTWOOD,3049,67,Meeting NQS,172,128
Oak Street Kindergarten,DROUIN,3818,62,Exceeding NQS,173,192
Longwarry Kindergarten,LONGWARRY,3816,38,Exceeding NQS,174,182
Buninyong Preschool,BUNINYONG,3357,63,Exceeding NQS,175,117
Mt Clear Community Kindergarten,MOUNT CLEAR,3350,66,Meeting NQS,176,186
Estrella Preschool,ASHBURTON,3147,30,Meeting NQS,177,156
Balwyn East Kindergarten,BALWYN,3103,28,Meeting NQS,178,175
Yongala Kindergarten,BALWYN,3103,27,Exceeding NQS,179,194
Bellevue Kindergarten,BALWYN NORTH,3104,52,Exceeding NQS,180,107
Boroondara Preschool,BALWYN NORTH,3104,30,Exceeding NQS,181,110
The Merrell Kindergarten,BALWYN NORTH,3104,28,Exceeding NQS,182,117
Rowen Street Kindergarten,GLEN IRIS,3146,55,Exceeding NQS,183,136
Alfred Road Kindergarten,GLEN IRIS,3146,30,Exceeding NQS,184,199
Summerhill Park Kindergarten,GLEN IRIS,3146,27,Exceeding NQS,185,123
Fordham Avenue Kindergarten,CAMBERWELL,3124,51,Exceeding NQS,186,163
St Dunstan's Kindergarten,CAMBERWELL,3124,27,Exceeding NQS,187,171
Canterbury Norwood Baptist Kindergarten,CANTERBURY,3126,30,Exceeding NQS,188,106
St Pauls Anglican Kindergarten,CANTERBURY,3126,48,Exceeding NQS,189,109
Deepdene Preschool,DEEPDENE,3103,25,Meeting NQS,190,145
Canterbury & District Preschool,SURREY HILLS,3127,28,Exceeding NQS,191,152
Surrey Hills Preschool Centre,SURREY HILLS,3127,49,Meeting NQS,192,178
Cgs Pre-preparatory Centre,CANTERBURY,3126,27,Exceeding NQS,193,102
Highgate Early Learning Centre,ASHBURTON,3147,55,Exceeding NQS,194,102
Canterbury Child Care Centre,CANTERBURY,3126,31,Meeting NQS,195,166
Through Road Child Care Centre,CAMBERWELL,3124,44,Exceeding NQS,196,119
Papilio Early Learning Ashburton,ASHBURTON,3147,70,Meeting NQS,197,126
Camberwell Kindergarten and Child Care Centre,CAMBERWELL,3124,51,Meeting NQS,198,188
Minifie Park Early Childhood Centre,BALWYN,3103,102,Working Towards NQS,199,159
Baranbali Camperdown Kindergarten,CAMPERDOWN,3260,60,Exceeding NQS,200,120
Castlemaine Kindergarten,CASTLEMAINE,3450,58,Exceeding NQS,201,122
South Castlemaine Kindergarten,CASTLEMAINE,3450,29,Exceeding NQS,202,132
Castlemaine Child Care Centre,CASTLEMAINE,3450,60,Exceeding NQS,203,119
Fink Karp Ivany Early Learning Centre,CAULFIELD SOUTH,3162,87,Exceeding NQS,204,102
Sholem Aleichem Preschool Education Centre,ELSTERNWICK,3185,121,Exceeding NQS,205,111
Ormond Community Kindergarten,ORMOND,3204,30,Exceeding NQS,206,105
Ripponlea Kindergarten,ST KILDA EAST,3183,24,Exceeding NQS,207,114
GEKA Murrumbeena Kindergarten,MURRUMBEENA,3163,27,Meeting NQS,208,182
Adass Israel Preschool,ELSTERNWICK,3185,250,Exceeding NQS,209,167
Shelford Child Care & Early Learning Centre,CAULFIELD,3162,56,Exceeding NQS,210,142
Abeles Liberman Preschool,CAULFIELD SOUTH,3162,155,Exceeding NQS,211,128
Murrumbeena Early Learning Centre,MURRUMBEENA,3163,48,Exceeding NQS,212,125
Caulfield Early Learning Centre,CAULFIELD,3162,57,Exceeding NQS,213,125
Carnegie Early Learning Centre,CARNEGIE,3163,35,Exceeding NQS,214,136
Gilly's Early Learning Centre,BALACLAVA,3183,60,Exceeding NQS,215,163
Chaya's Creche,ELSTERNWICK,3185,31,Exceeding NQS,216,196
Szalmuk Family Early Learning Centre,ST KILDA EAST,3183,184,Exceeding NQS,217,185
Roseberry House Early Learning Centre,GLEN HUNTLY,3163,81,Meeting NQS,218,187
Shelford Early Discovery Centre,CAULFIELD,3162,50,Exceeding NQS,219,198
Charlton & District Kindergarten,CHARLTON,3525,28,Exceeding NQS,220,165
Nola Barber Kindergarten,ASPENDALE,3195,44,Meeting NQS,221,110
Aspendale North Kindergarten,ASPENDALE,3195,33,Meeting NQS,222,111
Edithvale Preschool Centre,EDITHVALE,3196,27,Exceeding NQS,223,189
Kindy Patch Chelsea,CHELSEA,3196,70,Meeting NQS,224,104
Chelsea World of Learning 1,CHELSEA,3196,49,Meeting NQS,225,129
Bonbeach Preschool,BONBEACH,3196,54,Exceeding NQS,226,199
Patterson Lakes World of Learning,CARRUM,3197,52,Meeting NQS,227,125
Eilleen Taylor Kindergarten,COBRAM,3644,36,Meeting NQS,228,190
Punt Road Kindergarten and Childcare Centre,COBRAM,3644,63,Working Towards NQS,229,115
Lake Park Kindergarten,COBURG NORTH,3058,30,Meeting NQS,230,198
St Linus Kindergarten,MERLYNSTON,3058,28,Exceeding NQS,231,160
Derby Street Children's Centre,PASCOE VALE,3044,76,Exceeding NQS,232,168
Kent Road Uniting Church Preschool,PASCOE VALE,3044,33,Meeting NQS,233,115
Brentwood Kindergarten,PASCOE VALE SOUTH,3044,30,Exceeding NQS,234,173
Doris Blackburn Preschool Centre,PASCOE VALE SOUTH,3044,53,Exceeding NQS,235,185
Pascoe Vale South Uniting Church Kindergarten,PASCOE VALE SOUTH,3044,33,Meeting NQS,236,178
Turner Street Kindergarten,PASCOE VALE SOUTH,3044,29,Exceeding NQS,237,198
Shirley Robertson Childrens Centre,COBURG,3058,75,Exceeding NQS,238,134
Coburg & Pascoe Vale South Child Care Centre,PASCOE VALE SOUTH,3044,45,Meeting NQS,239,188
Anne Sgro Children's Centre,COBURG,3058,82,Exceeding NQS,240,118
Antonine Sisters Child Care Centre,COBURG,3058,50,Meeting NQS,241,149
Barry Beckett Children's Centre,COBURG,3058,93,Meeting NQS,242,189
Community Kids Pascoe Vale Early Education Centre,PASCOE VALE SOUTH,3044,65,Meeting NQS,243,138
Newlands Preschool,COBURG,3058,32,Meeting NQS,244,166
Moreland Kindergarten,COBURG,3058,25,Meeting NQS,245,116
Kids on the Avenue Children's Centre,MORELAND,3058,56,Meeting NQS,246,126
Cohuna & District Preschool Centre,COHUNA,3568,30,Meeting NQS,247,153
Leitchville Preschool Play Centre,LEITCHVILLE,3567,33,Exceeding NQS,248,165
Colac East Kindergarten,COLAC,3250,33,Exceeding NQS,249,138
Winifred Nance Kindergarten,COLAC,3250,33,Exceeding NQS,250,170
Wydinia Kindergarten & Early Learning Centre,COLAC,3250,48,Meeting NQS,251,133
Millville,COLAC,3250,85,Excellent,252,138
Apex Preschool,ELLIMINYT,3250,69,Exceeding NQS,253,190
Rupert Street Child Care & Kindergarten - BUC,COLLINGWOOD,3066,77,Meeting NQS,254,194
The University of Melbourne Early Learning Centre,ABBOTSFORD,3067,90,Exceeding NQS,255,109
Gold Street Child Care Centre,COLLINGWOOD,3066,52,Meeting NQS,256,110
Corio Kindergarten,CORIO,3214,58,Meeting NQS,257,143
William Hovell Preschool,CORIO,3214,32,Exceeding NQS,258,114
Bell Post Hill Kindergarten,BELL POST HILL,3215,60,Meeting NQS,259,172
William Parker Memorial Kindergarten,HAMLYN HEIGHTS,3215,27,Exceeding NQS,260,112
Lara Kindergarten,LARA,3212,33,Meeting NQS,261,179
Flinders Kindergarten,LARA,3212,30,Exceeding NQS,262,124
Norlane West Kindergarten,NORLANE,3214,52,Meeting NQS,263,166
Bell Park Kindergarten,BELL PARK,3215,72,Meeting NQS,264,169
City Learning & Care - Corio,CORIO,3214,60,Meeting NQS,265,182
Covenant College Kindergarten,BELL POST HILL,3215,30,Meeting NQS,266,160
Regans Road Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS,267,109
Langwarrin Preschool,LANGWARRIN,3910,29,Exceeding NQS,268,151
Bayles Kindergarten,BAYLES,3981,28,Exceeding NQS,269,151
Koo Wee Rup Preschool,KOO WEE RUP,3981,27,Meeting NQS,270,184
Pearcedale Kindergarten,PEARCEDALE,3912,30,Exceeding NQS,271,197
Valley Brook Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS,272,151
Wonnai Kindergarten,LANGWARRIN,3910,30,Exceeding NQS,273,199
Clarendon Street Community Child Care Centre,CRANBOURNE,3977,36,Working Towards NQS,274,179
Botany Park Preschool,CARRUM DOWNS,3201,30,Meeting NQS,275,115
Rangebank Kindergarten,CRANBOURNE,3977,30,Exceeding NQS,276,121
Hampton Park East Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS,277,173
Langwarrin Park Preschool,LANGWARRIN,3910,90,Exceeding NQS,278,122
Bowerbird Kindergarten,CARRUM DOWNS,3201,29,Exceeding NQS,279,188
Veronica Street Children's Centre,LANGWARRIN,3910,35,Meeting NQS,280,102
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cranbourne Drive,CRANBOURNE,3977,150,Meeting NQS,281,146
Coral Drive Kindergarten,HAMPTON PARK,3976,30,Working Towards NQS,282,159
Woodbine Road Preschool,CRANBOURNE,3977,56,Meeting NQS,283,151
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cameron Street,CRANBOURNE,3977,72,Meeting NQS,284,144
Rowellyn Preschool,CARRUM DOWNS,3201,27,Meeting NQS,285,165
Cranbourne Day Care & Kindergarten Centre Pty Ltd - The Barn,CRANBOURNE,3977,40,Meeting NQS,286,121
Pearcedale Day Care & Kindergarten Centre,PEARCEDALE,3912,60,Meeting NQS,287,177
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Mundaring Drive,CRANBOURNE,3977,90,Meeting NQS,288,121
Kids Paradise Childcare Pty Ltd,CARRUM DOWNS,3201,68,Meeting NQS,289,163
Cricklewood Child Care Centre,LANGWARRIN,3910,94,Exceeding NQS,290,175
Green Kids Early Learning,HAMPTON PARK,3976,83,Meeting NQS,291,135
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Duff Street,CRANBOURNE,3977,50,Meeting NQS,292,184
Creswick & District Preschool,CRESWICK,3363,55,Meeting NQS,293,161
Brentwood Park Kindergarten,CROYDON,3136,51,Exceeding NQS,294,175
Croydon Central Kindergarten,CROYDON,3136,27,Exceeding NQS,295,138
Lipscombe Park Kindergarten,CROYDON,3136,29,Exceeding NQS,296,124
St Johns Kindergarten,CROYDON,3136,30,Exceeding NQS,297,122
Pinjarra Kindergarten,CROYDON SOUTH,3136,28,Working Towards NQS,298,168
Melbourne Rudolf Steiner Kindergarten,WARRANWOOD,3134,70,Exceeding NQS,299,184
Barngeong Reserve Kindergarten,CROYDON NORTH,3136,50,Meeting NQS,300,156
Arrabri Kindergarten Inc,BAYSWATER NORTH,3153,29,Meeting NQS,301,117
Kurboroo Kindergarten,WARRANWOOD,3134,33,Meeting NQS,302,101
Croydon Early Learning and Childcare Centre,CROYDON,3136,52,Meeting NQS,303,114
Hewish Road Child Care Centre,CROYDON,3136,47,Meeting NQS,304,153
Swinburne Children's Centre,CROYDON,3136,66,Exceeding NQS,305,173
Dorset Early Learning & Kindergarten,CROYDON,3136,49,Meeting NQS,306,181
Swinburne Children's Centre Croydon,CROYDON,3136,55,Exceeding NQS,307,139
Kardinia Child Care Centre,WARRANWOOD,3134,60,Working Towards NQS,308,110
Community Kids Bayswater Early Education Centre,BAYSWATER NORTH,3153,51,Meeting NQS,309,179
Dandenong North East Kindergarten,DANDENONG,3175,54,Exceeding NQS,310,188
Dandenong North Preschool,DANDENONG,3175,57,Meeting NQS,311,137
Dandenong South Preschool,DANDENONG,3175,62,Meeting NQS,312,120
Heritage Preschool,DANDENONG NORTH,3175,56,Meeting NQS,313,126
Shalimar Park Preschool,DANDENONG NORTH,3175,57,Exceeding NQS,314,169
Rosswood Preschool,DANDENONG NORTH,3175,33,Meeting NQS,315,166
Fifth Avenue Day Care Centre,DANDENONG,3175,46,Meeting NQS,316,120
Dandenong Day Nursery,DANDENONG NORTH,3175,54,Meeting NQS,317,172
Rosewood Downs Child Care Centre,DANDENONG,3175,70,Meeting NQS,318,121
being3 Early Learning,DANDENONG,3175,41,Working Towards NQS,319,104
Daylesford Preschool,DAYLESFORD,3460,39,Exceeding NQS,320,160
Daylesford Community Child Care,DAYLESFORD,3460,79,Working Towards NQS,321,182
Hepburn Kindergarten,HEPBURN SPRINGS,3461,26,Meeting NQS,322,188
Shine Bright Tongala Kindergarten,TONGALA,3621,30,Exceeding NQS,323,188
Briar Hill Preschool,BRIAR HILL,3088,30,Exceeding NQS,324,175
Bundoora Preschool,BUNDOORA,3083,30,Exceeding NQS,325,149
Abacus Child Care Centre,GREENSBOROUGH,3088,75,Exceeding NQS,326,113
Warrawee Park Preschool,BUNDOORA,3083,27,Meeting NQS,327,189
Diamond Creek Memorial Preschool,DIAMOND CREEK,3089,30,Exceeding NQS,328,123
Apollo Parkways Preschool,GREENSBOROUGH,3088,30,Exceeding NQS,329,140
TRY Grace Park Preschool,GREENSBOROUGH,3088,33,Exceeding NQS,330,191
Greenhills Preschool,GREENSBOROUGH,3088,30,Exceeding NQS,331,198
Greensborough Preschool,GREENSBOROUGH,3088,30,Exceeding NQS,332,104
Yandell Kindergarten,GREENSBOROUGH,3088,30,Meeting NQS,333,137
Watsonia North Preschool,WATSONIA,3087,30,Exceeding NQS,334,132
Watsonia Preschool,WATSONIA,3087,29,Exceeding NQS,335,185
Eltham North Preschool,ELTHAM,3095,30,Exceeding NQS,336,145
Yarrambat / Plenty Preschool,YARRAMBAT,3091,60,Meeting NQS,337,144
Delta Road Preschool,WATSONIA,3087,29,Meeting NQS,338,198
Wahroonga Preschool,GREENSBOROUGH,3088,28,Exceeding NQS,339,171
Diamond Hills Preschool,GREENSBOROUGH,3088,30,Exceeding NQS,340,183
Plenty Valley International Montessori School,ST HELENA,3088,133,Exceeding NQS,341,182
Joyce Avenue Children's Centre,GREENSBOROUGH,3088,39,Meeting NQS,342,167
Occasional Child Care Centre Diamond Creek,DIAMOND CREEK,3089,56,Exceeding NQS,343,141
Jeparit Kindergarten,JEPARIT,3423,26,Meeting NQS,344,175
Bulleen Preschool,BULLEEN,3105,30,Exceeding NQS,345,137
Vista Valley Kindergarten,BULLEEN,3105,29,Meeting NQS,346,115
Doncaster Park Kindergarten,DONCASTER,3108,30,Exceeding NQS,347,157
TRY Beverley Hills Preschool,DONCASTER EAST,3109,30,Meeting NQS,348,192
